id_sensor;day_time;parameter_name;value;anomaly
S0005;2026-01-01 23:01:30;ventilation;0.963;False
S0004;2026-01-01 23:01:30;CO2_level;800;False
S0001;2026-01-01 23:01:30;temperature;24.194;False
S0009;2026-01-01 23:01:30;humidity;64.251;False
S0003;2026-01-01 23:01:30;humidity;65.675;False
S0007;2026-01-01 23:01:30;temperature;18.304;False
S0011;2026-01-01 23:01:45;ventilation;0.438;True
S0001;2026-01-01 23:01:45;temperature;23.447;False
S0005;2026-01-01 23:01:45;ventilation;null;True
S0010;2026-01-01 23:01:45;CO2_level;737;False
S0004;2026-01-01 23:01:45;CO2_level;728;False
S0007;2026-01-01 23:01:45;temperature;16.528;False
S0004;2026-01-01 23:02:00;CO2_level;765;False
S0003;2026-01-01 23:02:00;humidity;66.442;False
S0011;2026-01-01 23:02:00;ventilation;0.583;False
S0001;2026-01-01 23:02:00;temperature;17.806;False
S0009;2026-01-01 23:02:00;humidity;65.352;False
S0010;2026-01-01 23:02:00;CO2_level;775;False
S0005;2026-01-01 23:02:00;ventilation;0.954;False
S0007;2026-01-01 23:02:00;temperature;23.478;False
S0004;2026-01-01 23:02:15;CO2_level;1036;False
S0010;2026-01-01 23:02:15;CO2_level;768;False
S0005;2026-01-01 23:02:15;ventilation;0.51;False
S0007;2026-01-01 23:02:15;temperature;15.924;False
S0011;2026-01-01 23:02:15;ventilation;0.976;False
S0001;2026-01-01 23:02:15;temperature;23.847;False
S0011;2026-01-01 23:02:30;ventilation;0.954;False
S0007;2026-01-01 23:02:30;temperature;8.42;True
S0004;2026-01-01 23:02:30;CO2_level;1096;False
S0009;2026-01-01 23:02:30;humidity;60.348;False
S0005;2026-01-01 23:02:30;ventilation;0.626;False
S0003;2026-01-01 23:02:30;humidity;65.444;False
S0010;2026-01-01 23:02:30;CO2_level;945;False
S0001;2026-01-01 23:02:30;temperature;23.3;False
S0001;2026-01-01 23:02:45;temperature;16.699;False
S0011;2026-01-01 23:02:45;ventilation;0.637;False
S0010;2026-01-01 23:02:45;CO2_level;764;False
S0007;2026-01-01 23:02:45;temperature;19.59;False
S0005;2026-01-01 23:02:45;ventilation;0.636;False
S0004;2026-01-01 23:02:45;CO2_level;919;False
S0004;2026-01-01 23:03:00;CO2_level;736;False
S0010;2026-01-01 23:03:00;CO2_level;858;False
S0005;2026-01-01 23:03:00;ventilation;1.0;False
S0009;2026-01-01 23:03:00;humidity;67.425;False
S0011;2026-01-01 23:03:00;ventilation;0.899;False
S0003;2026-01-01 23:03:00;humidity;66.345;False
S0007;2026-01-01 23:03:00;temperature;23.785;False
S0001;2026-01-01 23:03:00;temperature;19.77;False
S0011;2026-01-01 23:03:15;ventilation;0.6;False
S0005;2026-01-01 23:03:15;ventilation;0.525;False
S0010;2026-01-01 23:03:15;CO2_level;1233;True
S0004;2026-01-01 23:03:15;CO2_level;852;False
S0001;2026-01-01 23:03:15;temperature;25.406;False
S0007;2026-01-01 23:03:15;temperature;16.239;False
S0001;2026-01-01 23:03:30;temperature;16.398;False
S0003;2026-01-01 23:03:30;humidity;67.864;False
S0011;2026-01-01 23:03:30;ventilation;0.699;False
S0005;2026-01-01 23:03:30;ventilation;0.804;False
S0007;2026-01-01 23:03:30;temperature;20.371;False
S0004;2026-01-01 23:03:30;CO2_level;713;False
S0010;2026-01-01 23:03:30;CO2_level;1092;False
S0009;2026-01-01 23:03:30;humidity;64.597;False
S0010;2026-01-01 23:03:45;CO2_level;1029;False
S0011;2026-01-01 23:03:45;ventilation;0.731;False
S0005;2026-01-01 23:03:45;ventilation;0.548;False
S0001;2026-01-01 23:03:45;temperature;29.802;True
S0004;2026-01-01 23:03:45;CO2_level;697;False
S0007;2026-01-01 23:03:45;temperature;19.594;False
S0010;2026-01-01 23:04:00;CO2_level;1164;False
S0011;2026-01-01 23:04:00;ventilation;1.592;True
S0009;2026-01-01 23:04:00;humidity;69.001;False
S0001;2026-01-01 23:04:00;temperature;19.434;False
S0003;2026-01-01 23:04:00;humidity;67.881;False
S0007;2026-01-01 23:04:00;temperature;21.941;False
S0005;2026-01-01 23:04:00;ventilation;0.962;False
S0004;2026-01-01 23:04:00;CO2_level;653;False
S0007;2026-01-01 23:04:15;temperature;15.901;False
S0011;2026-01-01 23:04:15;ventilation;0.521;False
S0010;2026-01-01 23:04:15;CO2_level;700;False
S0005;2026-01-01 23:04:15;ventilation;0.891;False
S0001;2026-01-01 23:04:15;temperature;25.997;False
S0004;2026-01-01 23:04:15;CO2_level;820;False
S0004;2026-01-01 23:04:30;CO2_level;762;False
S0005;2026-01-01 23:04:30;ventilation;0.725;False
S0001;2026-01-01 23:04:30;temperature;20.777;False
S0010;2026-01-01 23:04:30;CO2_level;936;False
S0009;2026-01-01 23:04:30;humidity;66.724;False
S0003;2026-01-01 23:04:30;humidity;61.266;False
S0007;2026-01-01 23:04:30;temperature;22.783;False
S0011;2026-01-01 23:04:30;ventilation;0.506;False
S0011;2026-01-01 23:04:45;ventilation;1.355;True
S0001;2026-01-01 23:04:45;temperature;15.562;False
S0005;2026-01-01 23:04:45;ventilation;0.517;False
S0004;2026-01-01 23:04:45;CO2_level;710;False
S0010;2026-01-01 23:04:45;CO2_level;776;False
S0007;2026-01-01 23:04:45;temperature;17.607;False
S0001;2026-01-01 23:05:00;temperature;24.979;False
S0004;2026-01-01 23:05:00;CO2_level;1044;False
S0011;2026-01-01 23:05:00;ventilation;0.907;False
S0003;2026-01-01 23:05:00;humidity;62.357;False
S0009;2026-01-01 23:05:00;humidity;68.055;False
S0007;2026-01-01 23:05:00;temperature;16.665;False
S0010;2026-01-01 23:05:00;CO2_level;918;False
S0005;2026-01-01 23:05:00;ventilation;0.989;False
S0007;2026-01-01 23:05:15;temperature;16.122;False
S0004;2026-01-01 23:05:15;CO2_level;691;False
S0001;2026-01-01 23:05:15;temperature;25.701;False
S0010;2026-01-01 23:05:15;CO2_level;1219;True
S0011;2026-01-01 23:05:15;ventilation;0.588;False
S0005;2026-01-01 23:05:15;ventilation;0.939;False
S0007;2026-01-01 23:05:30;temperature;25.523;False
S0003;2026-01-01 23:05:30;humidity;60.874;False
S0009;2026-01-01 23:05:30;humidity;61.347;False
S0004;2026-01-01 23:05:30;CO2_level;894;False
S0005;2026-01-01 23:05:30;ventilation;0.67;False
S0011;2026-01-01 23:05:30;ventilation;0.94;False
S0010;2026-01-01 23:05:30;CO2_level;802;False
S0001;2026-01-01 23:05:30;temperature;18.721;False
S0010;2026-01-01 23:05:45;CO2_level;995;False
S0004;2026-01-01 23:05:45;CO2_level;1010;False
S0001;2026-01-01 23:05:45;temperature;22.548;False
S0007;2026-01-01 23:05:45;temperature;15.323;False
S0005;2026-01-01 23:05:45;ventilation;0.69;False
S0011;2026-01-01 23:05:45;ventilation;0.51;False
S0003;2026-01-01 23:06:00;humidity;62.05;False
S0010;2026-01-01 23:06:00;CO2_level;1160;False
S0005;2026-01-01 23:06:00;ventilation;0.64;False
S0004;2026-01-01 23:06:00;CO2_level;1105;False
S0009;2026-01-01 23:06:00;humidity;66.61;False
S0001;2026-01-01 23:06:00;temperature;20.42;False
S0011;2026-01-01 23:06:00;ventilation;0.596;False
S0007;2026-01-01 23:06:00;temperature;25.136;False
S0007;2026-01-01 23:06:15;temperature;22.289;False
S0005;2026-01-01 23:06:15;ventilation;0.913;False
S0004;2026-01-01 23:06:15;CO2_level;691;False
S0010;2026-01-01 23:06:15;CO2_level;750;False
S0011;2026-01-01 23:06:15;ventilation;0.609;False
S0001;2026-01-01 23:06:15;temperature;18.927;False
S0011;2026-01-01 23:06:30;ventilation;0.59;False
S0003;2026-01-01 23:06:30;humidity;63.853;False
S0005;2026-01-01 23:06:30;ventilation;0.541;False
S0007;2026-01-01 23:06:30;temperature;19.48;False
S0009;2026-01-01 23:06:30;humidity;64.953;False
S0004;2026-01-01 23:06:30;CO2_level;695;False
S0010;2026-01-01 23:06:30;CO2_level;998;False
S0001;2026-01-01 23:06:30;temperature;25.701;False
S0010;2026-01-01 23:06:45;CO2_level;796;False
S0007;2026-01-01 23:06:45;temperature;21.465;False
S0001;2026-01-01 23:06:45;temperature;21.854;False
S0005;2026-01-01 23:06:45;ventilation;0.748;False
S0011;2026-01-01 23:06:45;ventilation;0.723;False
S0004;2026-01-01 23:06:45;CO2_level;219;True
S0010;2026-01-01 23:07:00;CO2_level;1007;False
S0011;2026-01-01 23:07:00;ventilation;0.813;False
S0003;2026-01-01 23:07:00;humidity;62.513;False
S0001;2026-01-01 23:07:00;temperature;21.652;False
S0009;2026-01-01 23:07:00;humidity;67.357;False
S0005;2026-01-01 23:07:00;ventilation;0.884;False
S0007;2026-01-01 23:07:00;temperature;15.518;False
S0004;2026-01-01 23:07:00;CO2_level;955;False
S0004;2026-01-01 23:07:15;CO2_level;813;False
S0001;2026-01-01 23:07:15;temperature;18.616;False
S0011;2026-01-01 23:07:15;ventilation;0.531;False
S0007;2026-01-01 23:07:15;temperature;16.211;False
S0010;2026-01-01 23:07:15;CO2_level;958;False
S0005;2026-01-01 23:07:15;ventilation;0.643;False
S0004;2026-01-01 23:07:30;CO2_level;878;False
S0007;2026-01-01 23:07:30;temperature;18.083;False
S0011;2026-01-01 23:07:30;ventilation;0.611;False
S0003;2026-01-01 23:07:30;humidity;61.919;False
S0001;2026-01-01 23:07:30;temperature;23.252;False
S0009;2026-01-01 23:07:30;humidity;66.409;False
S0010;2026-01-01 23:07:30;CO2_level;687;False
S0005;2026-01-01 23:07:30;ventilation;0.801;False
S0007;2026-01-01 23:07:45;temperature;18.584;False
S0001;2026-01-01 23:07:45;temperature;24.939;False
S0010;2026-01-01 23:07:45;CO2_level;657;False
S0011;2026-01-01 23:07:45;ventilation;0.853;False
S0004;2026-01-01 23:07:45;CO2_level;985;False
S0005;2026-01-01 23:07:45;ventilation;0.544;False
S0007;2026-01-01 23:08:00;temperature;17.7;False
S0001;2026-01-01 23:08:00;temperature;24.094;False
S0011;2026-01-01 23:08:00;ventilation;0.54;False
S0004;2026-01-01 23:08:00;CO2_level;1138;False
S0010;2026-01-01 23:08:00;CO2_level;691;False
S0009;2026-01-01 23:08:00;humidity;64.657;False
S0003;2026-01-01 23:08:00;humidity;63.448;False
S0005;2026-01-01 23:08:00;ventilation;0.87;False
S0005;2026-01-01 23:08:15;ventilation;0.546;False
S0001;2026-01-01 23:08:15;temperature;26.072;False
S0004;2026-01-01 23:08:15;CO2_level;897;False
S0007;2026-01-01 23:08:15;temperature;16.615;False
S0010;2026-01-01 23:08:15;CO2_level;713;False
S0011;2026-01-01 23:08:15;ventilation;0.735;False
S0001;2026-01-01 23:08:30;temperature;25.51;False
S0010;2026-01-01 23:08:30;CO2_level;943;False
S0003;2026-01-01 23:08:30;humidity;61.649;False
S0005;2026-01-01 23:08:30;ventilation;0.975;False
S0007;2026-01-01 23:08:30;temperature;25.879;False
S0009;2026-01-01 23:08:30;humidity;68.585;False
S0004;2026-01-01 23:08:30;CO2_level;1143;False
S0011;2026-01-01 23:08:30;ventilation;0.774;False
S0005;2026-01-01 23:08:45;ventilation;0.806;False
S0004;2026-01-01 23:08:45;CO2_level;642;False
S0001;2026-01-01 23:08:45;temperature;17.705;False
S0010;2026-01-01 23:08:45;CO2_level;802;False
S0007;2026-01-01 23:08:45;temperature;16.204;False
S0011;2026-01-01 23:08:45;ventilation;0.79;False
S0009;2026-01-01 23:09:00;humidity;69.393;False
S0007;2026-01-01 23:09:00;temperature;20.622;False
S0005;2026-01-01 23:09:00;ventilation;0.621;False
S0004;2026-01-01 23:09:00;CO2_level;1054;False
S0011;2026-01-01 23:09:00;ventilation;0.591;False
S0010;2026-01-01 23:09:00;CO2_level;637;False
S0003;2026-01-01 23:09:00;humidity;64.096;False
S0001;2026-01-01 23:09:00;temperature;18.315;False
S0001;2026-01-01 23:09:15;temperature;21.362;False
S0005;2026-01-01 23:09:15;ventilation;0.765;False
S0011;2026-01-01 23:09:15;ventilation;0.701;False
S0004;2026-01-01 23:09:15;CO2_level;724;False
S0007;2026-01-01 23:09:15;temperature;15.021;False
S0010;2026-01-01 23:09:15;CO2_level;1279;True
S0001;2026-01-01 23:09:30;temperature;23.801;False
S0007;2026-01-01 23:09:30;temperature;17.544;False
S0010;2026-01-01 23:09:30;CO2_level;566;True
S0005;2026-01-01 23:09:30;ventilation;0.965;False
S0004;2026-01-01 23:09:30;CO2_level;1003;False
S0011;2026-01-01 23:09:30;ventilation;0.881;False
S0003;2026-01-01 23:09:30;humidity;69.255;False
S0009;2026-01-01 23:09:30;humidity;60.633;False
S0010;2026-01-01 23:09:45;CO2_level;731;False
S0001;2026-01-01 23:09:45;temperature;20.392;False
S0005;2026-01-01 23:09:45;ventilation;0.943;False
S0004;2026-01-01 23:09:45;CO2_level;972;False
S0011;2026-01-01 23:09:45;ventilation;0.951;False
S0007;2026-01-01 23:09:45;temperature;23.647;False
S0001;2026-01-01 23:10:00;temperature;20.127;False
S0005;2026-01-01 23:10:00;ventilation;0.842;False
S0004;2026-01-01 23:10:00;CO2_level;686;False
S0003;2026-01-01 23:10:00;humidity;64.467;False
S0007;2026-01-01 23:10:00;temperature;22.074;False
S0009;2026-01-01 23:10:00;humidity;67.377;False
S0011;2026-01-01 23:10:00;ventilation;0.862;False
S0010;2026-01-01 23:10:00;CO2_level;921;False
S0005;2026-01-01 23:10:15;ventilation;0.866;False
S0011;2026-01-01 23:10:15;ventilation;0.774;False
S0004;2026-01-01 23:10:15;CO2_level;1183;False
S0007;2026-01-01 23:10:15;temperature;24.97;False
S0001;2026-01-01 23:10:15;temperature;24.28;False
S0010;2026-01-01 23:10:15;CO2_level;995;False
S0005;2026-01-01 23:10:30;ventilation;0.778;False
S0011;2026-01-01 23:10:30;ventilation;0.557;False
S0010;2026-01-01 23:10:30;CO2_level;666;False
S0007;2026-01-01 23:10:30;temperature;null;True
S0001;2026-01-01 23:10:30;temperature;23.277;False
S0004;2026-01-01 23:10:30;CO2_level;1203;True
S0009;2026-01-01 23:10:30;humidity;60.709;False
S0003;2026-01-01 23:10:30;humidity;67.08;False
S0005;2026-01-01 23:10:45;ventilation;0.887;False
S0004;2026-01-01 23:10:45;CO2_level;800;False
S0007;2026-01-01 23:10:45;temperature;15.643;False
S0010;2026-01-01 23:10:45;CO2_level;893;False
S0001;2026-01-01 23:10:45;temperature;30.995;True
S0011;2026-01-01 23:10:45;ventilation;0.709;False
S0010;2026-01-01 23:11:00;CO2_level;612;False
S0005;2026-01-01 23:11:00;ventilation;0.629;False
S0011;2026-01-01 23:11:00;ventilation;0.549;False
S0009;2026-01-01 23:11:00;humidity;73.067;True
S0004;2026-01-01 23:11:00;CO2_level;735;False
S0001;2026-01-01 23:11:00;temperature;22.447;False
S0003;2026-01-01 23:11:00;humidity;68.559;False
S0007;2026-01-01 23:11:00;temperature;null;True
S0005;2026-01-01 23:11:15;ventilation;0.715;False
S0001;2026-01-01 23:11:15;temperature;18.181;False
S0010;2026-01-01 23:11:15;CO2_level;995;False
S0004;2026-01-01 23:11:15;CO2_level;null;True
S0011;2026-01-01 23:11:15;ventilation;0.587;False
S0007;2026-01-01 23:11:15;temperature;22.176;False
S0004;2026-01-01 23:11:30;CO2_level;846;False
S0005;2026-01-01 23:11:30;ventilation;0.795;False
S0009;2026-01-01 23:11:30;humidity;66.42;False
S0001;2026-01-01 23:11:30;temperature;25.084;False
S0010;2026-01-01 23:11:30;CO2_level;1163;False
S0011;2026-01-01 23:11:30;ventilation;0.924;False
S0007;2026-01-01 23:11:30;temperature;15.946;False
S0003;2026-01-01 23:11:30;humidity;67.544;False
S0001;2026-01-01 23:11:45;temperature;-1.06;True
S0011;2026-01-01 23:11:45;ventilation;0.824;False
S0010;2026-01-01 23:11:45;CO2_level;1156;False
S0007;2026-01-01 23:11:45;temperature;22.174;False
S0005;2026-01-01 23:11:45;ventilation;0.963;False
S0004;2026-01-01 23:11:45;CO2_level;698;False
S0001;2026-01-01 23:12:00;temperature;26.709;False
S0010;2026-01-01 23:12:00;CO2_level;1117;False
S0004;2026-01-01 23:12:00;CO2_level;758;False
S0011;2026-01-01 23:12:00;ventilation;0.719;False
S0003;2026-01-01 23:12:00;humidity;64.295;False
S0009;2026-01-01 23:12:00;humidity;74.335;True
S0005;2026-01-01 23:12:00;ventilation;0.559;False
S0007;2026-01-01 23:12:00;temperature;26.411;False
S0011;2026-01-01 23:12:15;ventilation;0.827;False
S0005;2026-01-01 23:12:15;ventilation;0.878;False
S0007;2026-01-01 23:12:15;temperature;22.922;False
S0010;2026-01-01 23:12:15;CO2_level;828;False
S0004;2026-01-01 23:12:15;CO2_level;900;False
S0001;2026-01-01 23:12:15;temperature;26.669;False
S0010;2026-01-01 23:12:30;CO2_level;798;False
S0007;2026-01-01 23:12:30;temperature;23.791;False
S0003;2026-01-01 23:12:30;humidity;69.008;False
S0001;2026-01-01 23:12:30;temperature;19.416;False
S0004;2026-01-01 23:12:30;CO2_level;624;False
S0009;2026-01-01 23:12:30;humidity;65.25;False
S0011;2026-01-01 23:12:30;ventilation;0.698;False
S0005;2026-01-01 23:12:30;ventilation;0.586;False
S0004;2026-01-01 23:12:45;CO2_level;1093;False
S0011;2026-01-01 23:12:45;ventilation;0.527;False
S0007;2026-01-01 23:12:45;temperature;25.642;False
S0010;2026-01-01 23:12:45;CO2_level;844;False
S0005;2026-01-01 23:12:45;ventilation;0.537;False
S0001;2026-01-01 23:12:45;temperature;22.212;False
S0005;2026-01-01 23:13:00;ventilation;0.844;False
S0010;2026-01-01 23:13:00;CO2_level;748;False
S0003;2026-01-01 23:13:00;humidity;68.137;False
S0001;2026-01-01 23:13:00;temperature;15.795;False
S0011;2026-01-01 23:13:00;ventilation;0.865;False
S0004;2026-01-01 23:13:00;CO2_level;1043;False
S0007;2026-01-01 23:13:00;temperature;23.398;False
S0009;2026-01-01 23:13:00;humidity;4.481;True
S0005;2026-01-01 23:13:15;ventilation;null;True
S0010;2026-01-01 23:13:15;CO2_level;857;False
S0001;2026-01-01 23:13:15;temperature;16.619;False
S0011;2026-01-01 23:13:15;ventilation;0.827;False
S0004;2026-01-01 23:13:15;CO2_level;1010;False
S0007;2026-01-01 23:13:15;temperature;24.32;False
S0011;2026-01-01 23:13:30;ventilation;0.722;False
S0007;2026-01-01 23:13:30;temperature;18.414;False
S0010;2026-01-01 23:13:30;CO2_level;800;False
S0003;2026-01-01 23:13:30;humidity;62.699;False
S0004;2026-01-01 23:13:30;CO2_level;736;False
S0001;2026-01-01 23:13:30;temperature;15.807;False
S0009;2026-01-01 23:13:30;humidity;64.038;False
S0005;2026-01-01 23:13:30;ventilation;0.907;False
S0004;2026-01-01 23:13:45;CO2_level;646;False
S0001;2026-01-01 23:13:45;temperature;18.636;False
S0011;2026-01-01 23:13:45;ventilation;0.916;False
S0010;2026-01-01 23:13:45;CO2_level;1184;False
S0007;2026-01-01 23:13:45;temperature;17.058;False
S0005;2026-01-01 23:13:45;ventilation;0.726;False
S0010;2026-01-01 23:14:00;CO2_level;1041;False
S0004;2026-01-01 23:14:00;CO2_level;790;False
S0009;2026-01-01 23:14:00;humidity;66.161;False
S0007;2026-01-01 23:14:00;temperature;17.472;False
S0011;2026-01-01 23:14:00;ventilation;0.542;False
S0005;2026-01-01 23:14:00;ventilation;0.622;False
S0001;2026-01-01 23:14:00;temperature;26.564;False
S0003;2026-01-01 23:14:00;humidity;62.911;False
S0011;2026-01-01 23:14:15;ventilation;0.832;False
S0004;2026-01-01 23:14:15;CO2_level;744;False
S0005;2026-01-01 23:14:15;ventilation;0.906;False
S0007;2026-01-01 23:14:15;temperature;24.86;False
S0010;2026-01-01 23:14:15;CO2_level;1161;False
S0001;2026-01-01 23:14:15;temperature;26.333;False
S0005;2026-01-01 23:14:30;ventilation;0.85;False
S0004;2026-01-01 23:14:30;CO2_level;947;False
S0009;2026-01-01 23:14:30;humidity;45.386;True
S0003;2026-01-01 23:14:30;humidity;63.854;False
S0001;2026-01-01 23:14:30;temperature;22.847;False
S0011;2026-01-01 23:14:30;ventilation;0.635;False
S0007;2026-01-01 23:14:30;temperature;25.978;False
S0010;2026-01-01 23:14:30;CO2_level;968;False
S0004;2026-01-01 23:14:45;CO2_level;981;False
S0001;2026-01-01 23:14:45;temperature;24.88;False
S0011;2026-01-01 23:14:45;ventilation;0.644;False
S0007;2026-01-01 23:14:45;temperature;25.196;False
S0010;2026-01-01 23:14:45;CO2_level;1154;False
S0005;2026-01-01 23:14:45;ventilation;0.856;False
S0011;2026-01-01 23:15:00;ventilation;0.957;False
S0009;2026-01-01 23:15:00;humidity;65.761;False
S0001;2026-01-01 23:15:00;temperature;17.455;False
S0007;2026-01-01 23:15:00;temperature;23.018;False
S0003;2026-01-01 23:15:00;humidity;65.042;False
S0004;2026-01-01 23:15:00;CO2_level;1000;False
S0005;2026-01-01 23:15:00;ventilation;0.567;False
S0010;2026-01-01 23:15:00;CO2_level;938;False
S0001;2026-01-01 23:15:15;temperature;23.234;False
S0005;2026-01-01 23:15:15;ventilation;0.689;False
S0011;2026-01-01 23:15:15;ventilation;0.887;False
S0010;2026-01-01 23:15:15;CO2_level;null;True
S0007;2026-01-01 23:15:15;temperature;21.444;False
S0004;2026-01-01 23:15:15;CO2_level;703;False
S0001;2026-01-01 23:15:30;temperature;20.556;False
S0004;2026-01-01 23:15:30;CO2_level;1048;False
S0009;2026-01-01 23:15:30;humidity;65.857;False
S0010;2026-01-01 23:15:30;CO2_level;1158;False
S0003;2026-01-01 23:15:30;humidity;68.395;False
S0005;2026-01-01 23:15:30;ventilation;0.895;False
S0011;2026-01-01 23:15:30;ventilation;0.939;False
S0007;2026-01-01 23:15:30;temperature;23.162;False
S0011;2026-01-01 23:15:45;ventilation;0.611;False
S0007;2026-01-01 23:15:45;temperature;17.84;False
S0001;2026-01-01 23:15:45;temperature;23.556;False
S0004;2026-01-01 23:15:45;CO2_level;912;False
S0005;2026-01-01 23:15:45;ventilation;0.847;False
S0010;2026-01-01 23:15:45;CO2_level;1164;False
S0007;2026-01-01 23:16:00;temperature;19.854;False
S0004;2026-01-01 23:16:00;CO2_level;1075;False
S0009;2026-01-01 23:16:00;humidity;66.996;False
S0005;2026-01-01 23:16:00;ventilation;0.794;False
S0011;2026-01-01 23:16:00;ventilation;1.218;True
S0001;2026-01-01 23:16:00;temperature;21.929;False
S0010;2026-01-01 23:16:00;CO2_level;1164;False
S0003;2026-01-01 23:16:00;humidity;64.332;False
S0005;2026-01-01 23:16:15;ventilation;0.99;False
S0011;2026-01-01 23:16:15;ventilation;0.721;False
S0001;2026-01-01 23:16:15;temperature;17.062;False
S0004;2026-01-01 23:16:15;CO2_level;775;False
S0007;2026-01-01 23:16:15;temperature;26.768;False
S0010;2026-01-01 23:16:15;CO2_level;1198;False
S0005;2026-01-01 23:16:30;ventilation;0.678;False
S0009;2026-01-01 23:16:30;humidity;63.618;False
S0001;2026-01-01 23:16:30;temperature;20.013;False
S0010;2026-01-01 23:16:30;CO2_level;1121;False
S0007;2026-01-01 23:16:30;temperature;15.743;False
S0003;2026-01-01 23:16:30;humidity;68.726;False
S0011;2026-01-01 23:16:30;ventilation;0.985;False
S0004;2026-01-01 23:16:30;CO2_level;974;False
S0007;2026-01-01 23:16:45;temperature;9.16;True
S0011;2026-01-01 23:16:45;ventilation;1.198;True
S0010;2026-01-01 23:16:45;CO2_level;1056;False
S0004;2026-01-01 23:16:45;CO2_level;856;False
S0005;2026-01-01 23:16:45;ventilation;0.501;False
S0001;2026-01-01 23:16:45;temperature;25.074;False
S0005;2026-01-01 23:17:00;ventilation;0.706;False
S0010;2026-01-01 23:17:00;CO2_level;763;False
S0007;2026-01-01 23:17:00;temperature;15.222;False
S0004;2026-01-01 23:17:00;CO2_level;879;False
S0011;2026-01-01 23:17:00;ventilation;0.963;False
S0001;2026-01-01 23:17:00;temperature;15.962;False
S0003;2026-01-01 23:17:00;humidity;64.574;False
S0009;2026-01-01 23:17:00;humidity;62.969;False
S0007;2026-01-01 23:17:15;temperature;19.676;False
S0001;2026-01-01 23:17:15;temperature;26.307;False
S0005;2026-01-01 23:17:15;ventilation;0.774;False
S0010;2026-01-01 23:17:15;CO2_level;772;False
S0004;2026-01-01 23:17:15;CO2_level;1292;True
S0011;2026-01-01 23:17:15;ventilation;0.549;False
S0005;2026-01-01 23:17:30;ventilation;0.531;False
S0004;2026-01-01 23:17:30;CO2_level;1049;False
S0011;2026-01-01 23:17:30;ventilation;0.978;False
S0009;2026-01-01 23:17:30;humidity;65.694;False
S0003;2026-01-01 23:17:30;humidity;62.077;False
S0007;2026-01-01 23:17:30;temperature;17.607;False
S0001;2026-01-01 23:17:30;temperature;24.328;False
S0010;2026-01-01 23:17:30;CO2_level;1047;False
S0010;2026-01-01 23:17:45;CO2_level;699;False
S0004;2026-01-01 23:17:45;CO2_level;1171;False
S0001;2026-01-01 23:17:45;temperature;20.929;False
S0011;2026-01-01 23:17:45;ventilation;0.988;False
S0007;2026-01-01 23:17:45;temperature;22.163;False
S0005;2026-01-01 23:17:45;ventilation;0.56;False
S0007;2026-01-01 23:18:00;temperature;18.695;False
S0004;2026-01-01 23:18:00;CO2_level;793;False
S0003;2026-01-01 23:18:00;humidity;69.953;False
